SYMBOL,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TIMESTAMP,TOTALTRADES
20MICRONS,37.8,37.8,36.15,36.85,37.4,37.05,2017-06-28,202
3IINFOTECH,4.1,4.85,4,4.55,4.65,4.05,2017-06-28,7353
3MINDIA,13425.15,13469.55,12920,13266.7,13300,13460.55,2017-06-28,748
63MOONS,61,61.9,60.35,61,61.1,60.65,2017-06-28,437
8KMILES,546.1,548,535,537.45,535.2,547.45,2017-06-28,1866
A2ZINFRA,41.3,43,41.25,42,41.9,41.5,2017-06-28,3418
AARTIDRUGS,539.9,539.9,520,521.85,522.2,536.55,2017-06-28,569
AARTIIND,890.95,894.9,876.9,891.3,890,890,2017-06-28,2778
AARVEEDEN,58.2,61.2,57,59.5,59.8,58.85,2017-06-28,223
ABAN,183,184.65,180.8,182.1,181.9,182.65,2017-06-28,5449
ABB,1444,1459.7,1424,1452,1452.5,1440.75,2017-06-28,15129
ABBOTINDIA,4300,4305,4230,4236.1,4236.25,4243.25,2017-06-28,151
ABFRL,169.75,173.3,166.2,166.55,166.75,169.95,2017-06-28,4460
ABGSHIP,13.85,13.85,13.8,13.85,13.85,13.2,2017-06-28,118
ABIRLANUVO,1806,1816.95,1791.5,1804.45,1812.65,1811.9,2017-06-28,15261
ABMINTLTD,100,100,96.3,96.35,96.35,101.35,2017-06-28,14
ACC,1573,1591.9,1541.25,1580.05,1578.05,1578.55,2017-06-28,27799
ACCELYA,1326,1339,1320,1331,1331,1326.7,2017-06-28,93
ACE,67.5,69.85,66.65,68.8,68.7,67.45,2017-06-28,1591
ADANIENT,132.3,136.7,132.1,134.4,134.2,131,2017-06-28,61862
ADANIPORTS,368.4,369.65,363.05,364.5,364.35,367.7,2017-06-28,53764
ADANIPOWER,27.1,28.45,26.75,28.25,28.35,27.1,2017-06-28,21224
ADANITRANS,125.75,128.65,119,123.25,123.05,124.05,2017-06-28,9268
ADFFOODS,245.1,254.8,242.1,247.95,247,246.85,2017-06-28,4060
ADHUNIK,5.75,6,5.75,5.8,5.8,5.85,2017-06-28,1113
ADHUNIKIND,102.3,104.8,95.1,100.45,97.05,100.5,2017-06-28,1082
ADLABS,76.2,79.3,76.2,76.75,77,77.25,2017-06-28,3943
ADORWELD,369.05,372.35,366.5,370.1,369.95,370.3,2017-06-28,361
ADSL,25,25.7,25,25.35,25.4,25.4,2017-06-28,73
ADVANIHOTR,56.7,58.45,55.6,56.55,56.65,56.8,2017-06-28,110
ADVENZYMES,318,329.8,311,323.05,322.7,316.75,2017-06-28,7913
AEGISCHEM,184.8,185.7,180,185.15,185.1,182.7,2017-06-28,1444
AFL,50.25,51,50.25,51,51,50.9,2017-06-28,7
AGARIND,689,690,672,678,678,674,2017-06-28,19
AGCNET,124.25,128.8,123,123.1,126,124.45,2017-06-28,14
AGRITECH,58.95,58.95,55.8,55.8,55.8,58.7,2017-06-28,168
AGROPHOS,20.5,20.5,20.5,20.5,20.5,20.85,2017-06-28,1
AHLEAST,290,290,290,290,290,290,2017-06-28,4
AHLUCONT,322.15,327.55,320.05,321.95,320.1,320.05,2017-06-28,220
AHLWEST,165,168,165,165,165,163.1,2017-06-28,11
AIAENG,1349.55,1369,1330.55,1354.8,1348.95,1347.05,2017-06-28,3159
AIFL,418,434,418,422.2,419.8,419.3,2017-06-28,3186
AIRAN,153.85,153.85,153.85,153.85,153.85,152,2017-06-28,1
AJANTPHARM,1519,1559.4,1507.05,1548.25,1544.05,1517.35,2017-06-28,8396
AJMERA,212.85,220.5,207.25,218.8,218.55,212.9,2017-06-28,2242
AKASH,102,102,100,100,100,101,2017-06-28,25
AKSHARCHEM,760.95,772,750,757.1,760,765.5,2017-06-28,446
AKSHOPTFBR,17.2,17.25,17,17.05,17.1,17.1,2017-06-28,922
AKZOINDIA,1810,1865.95,1801.05,1839.45,1825.1,1812.85,2017-06-28,1587
ALANKIT,33.35,33.85,33.05,33.3,33.3,33.45,2017-06-28,466
ALBERTDAVD,307,315,307,310.85,314,307.7,2017-06-28,73
ALBK,66.6,67.45,65.8,67,67.05,67,2017-06-28,16001
ALCHEM,15.55,15.55,14.2,15.25,15.3,15.6,2017-06-28,136
ALEMBICLTD,38.4,38.8,37.7,38.35,38.3,37.85,2017-06-28,1403
ALICON,477,492.4,477,485.5,483.55,478.9,2017-06-28,93
ALKALI,64.5,64.5,62,62.6,63.4,64.3,2017-06-28,178
ALKEM,1811.9,1855,1811.85,1835.45,1834.5,1829.45,2017-06-28,2090
ALKYLAMINE,376,380,375.2,378.8,379,377.55,2017-06-28,182
ALLCARGO,172.8,175.6,170.5,171.45,170.8,172.55,2017-06-28,2330
ALLSEC,313.95,334.9,313.55,326.05,327,314.2,2017-06-28,490
ALMONDZ,18.55,18.6,17.5,18.35,18,18.05,2017-06-28,165
ALOKTEXT,2.65,2.7,2.5,2.6,2.65,2.7,2017-06-28,1246
ALPA,31.4,31.4,29.55,30.35,30.5,30.25,2017-06-28,62
ALPHAGEO,825.75,832.95,809,811,809.7,819.05,2017-06-28,1428
ALPSINDUS,6.15,6.15,6,6.1,6.05,6.05,2017-06-28,40
AMARAJABAT,837,846.6,834.05,839.4,837.05,839.3,2017-06-28,10262
AMBIKCO,1257.1,1258,1250,1253.05,1250.25,1257.4,2017-06-28,121
AMBUJACEM,240.8,246.45,237.05,245.65,246.2,240.75,2017-06-28,48277
AMDIND,26.45,26.45,25.8,26.05,26.05,26.15,2017-06-28,62
AMRUTANJAN,680,683.75,670.35,678.35,675,683.75,2017-06-28,344
AMTEKAUTO,27.75,30.5,27.75,29.5,30.45,29.2,2017-06-28,12423
ANANTRAJ,57.25,59.1,56.65,57.85,57.95,57.6,2017-06-28,4754
ANDHRABANK,52.6,54.25,52.4,53.95,54.05,53.45,2017-06-28,7202
